I ,U
0.302,-0.01
0.402,-0.015
0.508,-0.021
0.599,-0.025
0.706,-0.031
0.839,-0.037
0.901,-0.04
-0.133,0.01
-0.322,0.018
-0.462,0.025
-0.625,0.034
-0.781,0.042
-0.93,0.048
